"Name","FullName","Length","LastWriteTime"
"BEST_KNOWN_WORKFLOW.md","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\LOCAL-AI-STUDIO\PRODUCTION\BEST_KNOWN_WORKFLOW.md","3148","2026/8/13 上午 12:56:28"
"PRODUCTION_QUEUE.md","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\LOCAL-AI-STUDIO\PRODUCTION\PRODUCTION_QUEUE.md","2584","2026/8/13 上午 12:56:57"
"PUBLISH_GATE.md","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\LOCAL-AI-STUDIO\PRODUCTION\PUBLISH_GATE.md","5445","2026/8/13 上午 01:05:27"
"R&D_QUEUE.md","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\LOCAL-AI-STUDIO\PRODUCTION\R&D_QUEUE.md","3049","2026/8/13 上午 12:57:24"
"_GATE_d4s1.jpg","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\LOCAL-AI-STUDIO\PRODUCTION\_GATE_d4s1.jpg","341548","2026/8/13 上午 12:54:20"
"_GATE_v5甩身.jpg","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\LOCAL-AI-STUDIO\PRODUCTION\_GATE_v5甩身.jpg","445585","2026/8/13 上午 01:26:20"
"_GATE_甩身有聲.jpg","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\LOCAL-AI-STUDIO\PRODUCTION\_GATE_甩身有聲.jpg","446157","2026/8/13 上午 10:15:15"
"_PROBE_嘴部.jpg","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\LOCAL-AI-STUDIO\PRODUCTION\_PROBE_嘴部.jpg","419922","2026/8/13 上午 01:03:42"
"_PROBE_精剪7秒.jpg","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\LOCAL-AI-STUDIO\PRODUCTION\_PROBE_精剪7秒.jpg","421122","2026/8/13 上午 01:04:29"
"_REF_已發布5支.jpg","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\LOCAL-AI-STUDIO\PRODUCTION\_REF_已發布5支.jpg","351600","2026/8/13 上午 12:52:56"
"_studio_bare.png","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\LOCAL-AI-STUDIO\PRODUCTION\_studio_bare.png","315109","2026/8/13 上午 10:47:11"
"_studio_direct.png","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\LOCAL-AI-STUDIO\PRODUCTION\_studio_direct.png","315357","2026/8/13 上午 10:47:07"
"t0.05.png","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\LOCAL-AI-STUDIO\PRODUCTION\_gate_d4s1\t0.05.png","2956379","2026/8/13 上午 12:54:18"
"t2.0.png","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\LOCAL-AI-STUDIO\PRODUCTION\_gate_d4s1\t2.0.png","3325384","2026/8/13 上午 12:54:18"
"t4.0.png","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\LOCAL-AI-STUDIO\PRODUCTION\_gate_d4s1\t4.0.png","3427900","2026/8/13 上午 12:54:19"
"t6.0.png","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\LOCAL-AI-STUDIO\PRODUCTION\_gate_d4s1\t6.0.png","3124372","2026/8/13 上午 12:54:19"
